,c11,c12,c13,c14,c15,c16,c21,c22,c23,c24,c25,c26,c31,c32,c33,c34,c35,c36,c41,c42,c43,c44,c45,c46,c51,c52,c53,c54,c55,c56,c61,c62,c63,c64,c65,c66,element,potential,crystalstructure
20,221.059,183.015,183.015,0.0,0.0,0.0,183.015,221.059,183.015,0.0,-0.0,0.0,183.015,183.015,221.059,0.0,-0.0,0.0,-0.0,-0.0,-0.0,72.561,0.0,0.0,-0.0,-0.0,-0.0,0.0,72.561,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,72.561,Pd,1989--Adams-J-B-Foiles-S-M-Wolfer-W-G--Ag-Au-Cu-Ni-Pd-Pt,fcc
21,304.085,272.589,272.589,0.0,0.0,0.0,272.589,304.085,272.589,0.0,0.0,0.0,272.589,272.589,304.085,0.0,0.0,0.0,0.0,0.0,0.0,71.909,0.0,0.0,0.0,0.0,0.0,0.0,71.909,0.0,0.0,0.0,0.0,0.0,0.0,71.909,Pt,1989--Adams-J-B-Foiles-S-M-Wolfer-W-G--Ag-Au-Cu-Ni-Pd-Pt,fcc
22,168.063,123.754,123.754,-0.0,0.0,0.0,123.754,168.063,123.754,-0.0,-0.0,-0.0,123.754,123.754,168.063,0.0,-0.0,-0.0,0.0,0.0,-0.0,78.847,0.0,-0.0,0.0,0.0,0.0,0.0,78.847,0.0,0.0,-0.0,0.0,0.0,0.0,78.847,Cu,1989--Adams-J-B-Foiles-S-M-Wolfer-W-G--Cu,fcc
23,235.575,153.141,153.141,0.0,-0.0,-0.0,153.141,235.575,153.141,-0.0,-0.0,-0.0,153.141,153.141,235.575,-0.0,0.0,-0.0,0.0,-0.0,-0.0,133.505,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,133.505,-0.0,-0.0,-0.0,0.0,0.0,-0.0,133.505,Ni,1989--Adams-J-B-Foiles-S-M-Wolfer-W-G--Ni,fcc
24,221.059,183.015,183.015,0.0,0.0,0.0,183.015,221.059,183.015,0.0,-0.0,0.0,183.015,183.015,221.059,0.0,-0.0,0.0,-0.0,-0.0,-0.0,72.561,0.0,0.0,-0.0,-0.0,-0.0,0.0,72.561,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,72.561,Pd,1989--Adams-J-B-Foiles-S-M-Wolfer-W-G--Pd,fcc
25,304.085,272.589,272.589,0.0,0.0,0.0,272.589,304.085,272.589,0.0,0.0,0.0,272.589,272.589,304.085,0.0,0.0,0.0,0.0,0.0,0.0,71.909,0.0,0.0,0.0,0.0,0.0,0.0,71.909,0.0,0.0,0.0,0.0,0.0,0.0,71.909,Pt,1989--Adams-J-B-Foiles-S-M-Wolfer-W-G--Pt,fcc
26,167.315,120.859,120.859,-0.0,0.0,0.0,120.859,167.315,120.859,0.0,0.0,-0.0,120.859,120.859,167.315,-0.0,0.0,0.0,-0.0,-0.0,-0.0,74.856,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,74.856,0.0,-0.0,-0.0,-0.0,0.0,0.0,74.856,Cu,1990--Ackland-G-J-Vitek-V--Cu,fcc
27,180.077,86.694,69.455,-0.0,0.0,-0.0,86.694,180.077,69.455,0.0,0.0,-0.0,69.455,69.455,165.184,-0.0,0.0,-0.0,-0.0,0.0,0.0,45.154,0.0,-0.0,0.0,0.0,0.0,-0.0,45.154,0.0,0.0,-0.0,0.0,-0.0,0.0,46.692,Ti,1992--Ackland-G-J--Ti,hcp
28,246.715,147.481,147.481,0.0,0.0,-0.0,147.481,246.715,147.481,0.0,0.0,-0.0,147.481,147.481,246.715,0.0,0.0,-0.0,0.0,-0.0,-0.0,124.961,0.0,0.0,-0.0,0.0,-0.0,0.0,124.961,-0.0,-0.0,-0.0,0.0,0.0,0.0,124.961,Ni,1995--Angelo-J-E-Moody-N-R-Baskes-M-I--Ni-Al-H,fcc
29,114.016,62.046,62.046,0.0,0.0,0.0,62.046,114.016,62.046,-0.0,0.0,0.0,62.046,62.046,114.016,-0.0,0.0,0.0,-0.0,-0.0,-0.0,31.616,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,31.616,0.0,-0.0,-0.0,-0.0,-0.0,0.0,31.616,Al,1995--Angelo-J-E-Moody-N-R-Baskes-M-I--Ni-Al-H,fcc
30,243.365,129.639,129.639,-0.0,-0.0,-0.0,129.639,243.365,129.639,-0.0,-0.0,-0.0,129.639,129.639,243.365,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,27.575,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,27.575,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,27.575,Nb,1996--Farkas-D-Jones-C--Nb-Ti-Al,bcc
31,188.212,75.14,62.157,0.0,0.0,-0.0,75.14,188.212,62.157,0.0,0.0,0.0,62.157,62.157,191.528,-0.0,-0.0,0.0,-0.0,0.0,-0.0,43.122,0.0,0.0,0.0,-0.0,-0.0,-0.0,43.122,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,38.859,Ti,1996--Farkas-D-Jones-C--Nb-Ti-Al,hcp
32,180.955,123.553,123.553,-0.0,-0.0,-0.0,123.553,180.955,123.553,-0.0,-0.0,-0.0,123.553,123.553,180.955,-0.0,0.0,-0.0,0.0,-0.0,-0.0,50.79,0.0,-0.0,-0.0,0.0,-0.0,0.0,50.79,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,50.79,Al,1996--Farkas-D-Jones-C--Nb-Ti-Al,fcc
